ProductID			437	OPC_PROP_B_PRODUCT_ID
Grade			438	OPC_PROP_B_GRADE 
BatchSize			439	OPC_PROP_B_BATCH_SIZE
Priority			440	OPC_PROP_B_PRIORITY
ExecutionState		441	OPC_PROP_B_EXECUTION_STATE
IEC61512-1State		442	OPC_PROP_B_IEC61512_1_STATE
ExecutionMode		443	OPC_PROP_B_EXECUTION_MODE
IEC61512-1Mode		444	OPC_PROP_B_IEC61512_1_MODE
ScheduledStartTime	445	OPC_PROP_B_SCHEDULED_START_TIME
ActualStartTime		446	OPC_PROP_B_ACTUAL_START_TIME
EstimatedEndTime		447	OPC_PROP_B_ESTIMATED_END_TIME
ActualEndTime		448	OPC_PROP_B_ACTUAL_END_TIME 
OPCBPhysicalModelReference	449	OPC_PROP_B_PHYSICAL_MODEL_REFERENCE
EquipmentProceduralElement		450	OPC_PROP_B_EQUIPMENT_PROCEDURAL_ELEMENT
ParameterCount		451	OPC_PROP_B_PARAMETER_COUNT
ParameterType		452	OPC_PROP_B_PARAMETER_TYPE
ValidValues		453	OPC_PROP_B_VALID_VALUES
ScalingRule		454	OPC_PROP_B_SCALING_RULE
ExpressionRule		455	OPC_PROP_B_EXPRESSION_RULE 
ResultCount		456	OPC_PROP_B_RESULT_COUNT
EnumerationSetID		457	OPC_PROP_B_ENUMERATION_SET_ID
OPCBMasterRecipeModelLevel	458	OPC_PROP_B_MASTER_RECIPE_MODEL_LEVEL
ProcedureLogic		459	OPC_PROP_B_PROCEDURE_LOGIC	
ProcedureLogicSchema	460	OPC_PROP_B_PROCEDURE_LOGIC_SCHEMA
EquipmentCandidateList	461	OPC_PROP_B_EQUIPMENT_CANDIDATE_LIST
EquipmentClassCandidateList	462	OPC_PROP_B_EQUIPMENT_CLASS_CANDIDATE_LIST
VersionDate		463	OPC_PROP_B_VERSION_DATE
ApprovalDate		464	OPC_PROP_B_APPROVAL_DATE
EffectiveDate		465	OPC_PROP_B_EFFECTIVE_DATE
ExpirationDate		466	OPC_PROP_B_EXPIRATION_DATE
Author			467	OPC_PROP_B_AUTHOR
ApprovedBy		468	OPC_PROP_B_APPROVED_BY
UsageConstraint		469	OPC_PROP_B_USAGE_CONSTRAINT
RecipeStatus		470	OPC_PROP_B_RECIPE_STATUS
RE_Use			471	OPC_PROP_B_RE_USE
DerivedRE		472	OPC_PROP_B_DERIVED_RE
DerivedVersion		473	OPC_PROP_B_DERIVED_VERSION
Scalable			474	OPC_PROP_B_SCALABLE
ExpectedDuration		475	OPC_PROP_B_EXPECTED_DURATION
ActualDuration		476	OPC_PROP_B_ACTUAL_DURATION
TrainList2			477	OPC_PROP_B_TRAIN_LIST2
